URL,title,author,album
https://music.163.com/song?id=34338114,"Эй, ухнем!",俄罗斯军队模范亚历山德罗夫红旗歌舞团,The Best Of The Red Army Choir
https://music.163.com/song?id=1607055,"Introduction and Tarantella, Op. 43",James Ehnes,Wieniawski / Sarasate: Violin Showpieces
https://music.163.com/song?id=26500538,The Parting,Michael Hoppé,Grace
https://music.163.com/song?id=82359,"Andantino In E Flat, K236",傅聪,莫扎特钢琴作品集
https://music.163.com/song?id=27471606,"Toccata and Fugue in D Minor, BWV 565:Toccata and Fugue in D Minor, BWV 565: Toccata",Wolfgang Rübsam,BACH (THE VERY BEST OF)
https://music.163.com/song?id=1834598,Choro No. 1,Pepe Romero,Guitar Hits With Passion
https://music.163.com/song?id=29547466,"Alla Turca Jazz, Op. 5/b",Fazil Say,Say Plays Say
https://music.163.com/song?id=27256825,"The Messiah, HWV 56:Hallelujah Chorus",David Parry,The 99 Most Essential Pieces of Classical Music
https://music.163.com/song?id=1073846,"Sonata In F Major, Walsh, Op.1 No.12: I. Adagio",Richard Egarr,Handel: Complete Violin Sonatas
https://music.163.com/song?id=477745662,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",马友友,Yo-Yo Ma Plays Bach
https://music.163.com/song?id=28461164,Ascendance,Lindsey Stirling,Shatter Me
https://music.163.com/song?id=500014,Opus,坂本龍一,BTTB
https://music.163.com/song?id=27256825,"The Messiah, HWV 56:Hallelujah Chorus",David Parry,The 99 Most Essential Pieces of Classical Music
https://music.163.com/song?id=21513706,"Orfeo ed Euridice, Act I, Scene 2: Che disse? Che ascoltai? (Orfeo)",Riccardo Muti,Gluck: Orfeo ed Euridice
https://music.163.com/song?id=5195123,Haja O Que Houver,圣母合唱团,天籁美声2
https://music.163.com/song?id=31260307,Liebesleid,马友友,Yo-Yo Ma Impressions
https://music.163.com/song?id=2101829,"Symphony No. 9 in D Minor, Op. 125, ""Choral"":IV. Presto: O Freunde, nicht diese Tone! - Freude schoner Gotterfunken",Elisabeth Schwarzkopf,"BEETHOVEN, L.: Symphony No. 9, ""Choral"" (Schwarzkopf, Höngen, Hopf, Edelmann, Bayreuth Festival Chorus and Orchestra, Furtwängler) (1951)"
https://music.163.com/song?id=25892492,走出非洲:A大调单簧管协奏曲/莫扎特,Peter Maag,OSCAR电影中的古典
